9,19,37,42,53,67,74,75,62,52,42,34
9,18,36,41,53,67,74,74,61,51,42,33
8,16,36,41,52,66,73,73,60,49,41,32
9,17,35,40,53,66,74,74,59,50,42,32
10,18,36,40,55,67,74,75,60,50,43,33
10,18,37,41,56,69,76,75,61,51,43,33
11,19,37,42,58,69,76,76,62,53,44,33
11,19,39,44,59,70,77,77,63,54,44,34
13,21,40,46,59,70,78,77,63,56,45,36
15,22,41,47,60,72,79,78,64,57,47,36
16,23,41,48,62,73,80,79,64,57,47,37
19,27,42,51,63,74,82,79,64,57,48,39
22,30,45,52,63,74,82,80,66,60,49,40
25,33,47,53,64,76,83,81,67,62,49,40
27,35,47,53,66,76,83,81,68,62,50,41
27,36,46,55,66,75,82,82,68,63,52,40
26,34,44,56,67,73,81,82,70,63,53,38
22,32,41,55,64,71,79,80,71,62,52,35
21,30,40,54,61,70,77,77,70,60,52,33
19,29,38,52,59,68,76,76,69,58,50,31
17,29,38,50,57,68,74,76,67,58,48,30
17,27,37,50,56,67,74,75,65,57,46,29
15,23,36,49,53,66,73,75,65,56,45,28
14,22,34,48,50,66,73,75,64,56,42,28
