front,left,direction
1.515,0.476,Slight-Right-Turn
1.505,0.478,Slight-Right-Turn
1.494,0.479,Slight-Right-Turn
1.484,0.481,Slight-Right-Turn
1.473,0.482,Slight-Right-Turn
1.464,0.484,Slight-Right-Turn
1.454,0.486,Slight-Right-Turn
1.444,0.488,Slight-Right-Turn
1.434,0.49,Slight-Right-Turn
1.424,0.492,Slight-Right-Turn
1.415,0.494,Slight-Right-Turn
1.406,0.497,Move-Forward
1.397,0.499,Move-Forward
1.387,0.502,Move-Forward
1.377,0.505,Move-Forward
1.366,0.508,Move-Forward
1.354,0.512,Move-Forward
1.34,0.517,Move-Forward
1.326,0.523,Move-Forward
1.311,0.528,Move-Forward
1.298,0.534,Move-Forward
1.279,0.541,Move-Forward
1.262,0.549,Move-Forward
1.245,0.556,Move-Forward
1.227,0.565,Move-Forward
1.209,0.571,Move-Forward
1.192,0.579,Move-Forward
1.174,0.587,Move-Forward
1.156,0.595,Move-Forward
1.141,0.603,Move-Forward
1.122,0.611,Move-Forward
1.103,0.619,Move-Forward
1.084,0.627,Move-Forward
1.065,0.636,Move-Forward
1.043,0.645,Move-Forward
1.024,0.651,Move-Forward
1.006,0.662,Move-Forward
0.988,0.67,Move-Forward
0.97,0.678,Move-Forward
0.952,0.687,Move-Forward
0.933,0.696,Move-Forward
0.915,0.705,Move-Forward
0.897,0.714,Sharp-Right-Turn
0.878,0.722,Sharp-Right-Turn
0.86,0.73,Sharp-Right-Turn
0.843,0.738,Sharp-Right-Turn
0.825,0.746,Sharp-Right-Turn
0.809,0.753,Sharp-Right-Turn
0.794,0.759,Sharp-Right-Turn
0.785,0.762,Sharp-Right-Turn
0.784,0.76,Sharp-Right-Turn
0.787,0.759,Sharp-Right-Turn
0.788,0.758,Sharp-Right-Turn
0.789,0.758,Sharp-Right-Turn
0.788,0.758,Sharp-Right-Turn
0.788,0.758,Sharp-Right-Turn
0.791,0.758,Sharp-Right-Turn
0.791,0.757,Sharp-Right-Turn
0.789,0.757,Sharp-Right-Turn
0.785,0.759,Sharp-Right-Turn
0.784,0.758,Sharp-Right-Turn
0.783,0.766,Sharp-Right-Turn
0.783,0.76,Sharp-Right-Turn
0.782,0.759,Sharp-Right-Turn
0.782,0.759,Sharp-Right-Turn
0.781,0.755,Sharp-Right-Turn
0.78,0.755,Sharp-Right-Turn
0.779,0.754,Sharp-Right-Turn
0.777,0.754,Sharp-Right-Turn
0.776,0.754,Sharp-Right-Turn
0.775,0.757,Sharp-Right-Turn
0.774,0.757,Sharp-Right-Turn
0.774,0.76,Sharp-Right-Turn
0.773,0.764,Sharp-Right-Turn
0.776,0.794,Sharp-Right-Turn
0.778,0.803,Sharp-Right-Turn
0.783,0.763,Sharp-Right-Turn
0.826,0.795,Sharp-Right-Turn
0.776,0.792,Sharp-Right-Turn
0.775,0.769,Sharp-Right-Turn
0.775,0.789,Sharp-Right-Turn
0.778,0.805,Sharp-Right-Turn
0.778,0.775,Sharp-Right-Turn
0.784,0.768,Sharp-Right-Turn
0.805,0.765,Sharp-Right-Turn
1.529,0.762,Move-Forward
1.531,0.758,Move-Forward
0.791,0.756,Sharp-Right-Turn
1.532,0.753,Move-Forward
1.53,0.752,Move-Forward
1.529,0.751,Move-Forward
1.528,0.751,Move-Forward
1.528,0.751,Move-Forward
1.527,0.75,Move-Forward
1.527,0.75,Move-Forward
1.525,0.75,Move-Forward
1.521,0.748,Move-Forward
1.514,0.745,Move-Forward
1.504,0.742,Move-Forward
1.493,0.738,Move-Forward
1.48,0.732,Move-Forward
1.465,0.726,Move-Forward
1.45,0.72,Move-Forward
1.433,0.714,Move-Forward
1.416,0.706,Move-Forward
1.397,0.7,Move-Forward
1.379,0.693,Move-Forward
1.361,0.686,Move-Forward
1.342,0.679,Move-Forward
1.323,0.673,Move-Forward
1.304,0.666,Move-Forward
1.285,0.658,Move-Forward
1.267,0.652,Move-Forward
1.248,0.645,Move-Forward
1.229,0.638,Move-Forward
1.209,0.631,Move-Forward
1.19,0.624,Move-Forward
1.17,0.617,Move-Forward
1.151,0.609,Move-Forward
1.132,0.602,Move-Forward
1.114,0.595,Move-Forward
1.096,0.587,Move-Forward
1.078,0.58,Move-Forward
1.06,0.573,Move-Forward
1.042,0.566,Move-Forward
